ID,State,ParliamentCode,Parliament,Malay,Chinese,Indian,Registered,Total,Turnout,Year,Coalition,Party,Candidate,SpoilerPAS,Winner,Votes,VoteShare,Majority,Margin,ChangeMalay,ChangeChinese,ChangeRegistered,ChangeTotal,ChangeTurnout,ChangeWinner,ChangeMajority,ChangeMargin,ChangeVoteShare,Parties,Rank,WastedVotes
9,Kedah,P9,Alor Setar,0.64,0.32,0.04,80272,63931,0.7964296392266295,2018,Pakatan,PKR,Chan Ming Kai,1,1,32475,0.507969529649153,15200,0.23775633104440724,0.030000000000000027,-0.020000000000000018,11263,7289,-0.024361851738317175,0,13327,0.2046889958514409,0.024865119494144328,3,1,11164.666666666668
9,Kedah,P9,Alor Setar,0.64,0.32,0.04,80272,63931,0.7964296392266295,2018,PAS,PAS,Muhammad Aminur Shafiq Bin Mohamad Abduh,1,0,17275,0.27021319860474574,-15200,-0.23775633104440724,0.030000000000000027,-0.020000000000000018,11263,7289,-0.024361851738317175,NA,NA,NA,NA,3,2,17275
10,Kedah,P10,Kuala Kedah,0.78,0.21,0.01,95328,80793,0.8475264350453172,2013,BN,UMNO,Zaki Zamani Bin Abd Rashid,0,0,37923,0.46938472392410235,-4947,-0.06123055215179533,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,37923
10,Kedah,P10,Kuala Kedah,0.78,0.2,0.01,97753,79167,0.8098677278446698,2018,BN,UMNO,Abdullah Hasnan Bin Kamaruddin,1,0,19400,0.24505159978273774,-17224,-0.21756539972463274,0,-0.009999999999999981,2425,-1626,-0.03765870720064746,0,-12277,-0.15633484757283742,-0.2243331241413646,3,3,19400
10,Kedah,P10,Kuala Kedah,0.78,0.21,0.01,95328,80793,0.8475264350453172,2013,Pakatan,PKR,Azman Bin Ismail,0,1,42870,0.5306152760758976,4947,0.06123055215179533,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2473.5
10,Kedah,P10,Kuala Kedah,0.78,0.2,0.01,97753,79167,0.8098677278446698,2018,Pakatan,PKR,Azman Bin Ismail,1,1,36624,0.4626169995073705,13481,0.17028559879747876,0,-0.009999999999999981,2425,-1626,-0.03765870720064746,0,8534,0.10905504664568344,-0.06799827656852714,3,1,10235
10,Kedah,P10,Kuala Kedah,0.78,0.2,0.01,97753,79167,0.8098677278446698,2018,PAS,PAS,Muhamad Riduan Bin Othman,1,0,23143,0.2923314007098918,-13481,-0.17028559879747876,0,-0.009999999999999981,2425,-1626,-0.03765870720064746,NA,NA,NA,NA,3,2,23143
11,Kedah,P11,Pendang,0.89,0.05,0.01,74867,62246,0.8314210533345799,2018,BEBAS,BEBAS,Abdul Malik Bin Manaf,1,0,81,0.001301288436204736,-26455,-0.42500722938020113,0.010000000000000009,-0.009999999999999995,4732,554,-0.04819682646865664,NA,NA,NA,NA,4,4,81
11,Kedah,P11,Pendang,0.88,0.06,0.01,70135,61692,0.8796178798032366,2013,BN,UMNO,Othman Bin Abdul,0,1,32165,0.5213804058873112,2638,0.04276081177462232,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1319
11,Kedah,P11,Pendang,0.89,0.05,0.01,74867,62246,0.8314210533345799,2018,BN,UMNO,Othman Bin Abdul,1,0,20728,0.33300131735372557,-5808,-0.09330720046268033,0.010000000000000009,-0.009999999999999995,4732,554,-0.04819682646865664,-1,-8446,-0.13606801223730264,-0.1883790885335856,4,2,20728
