ID,Year,State,Parliament,ParliamentCode,Registered,Malay,Chinese,Indian,Party,Candidate,Votes
36,2013,TR,Kuala Terengganu,P36,94406,0.89,0.1,0.01,PAS,Raja Kamarul Bahrin Shah,45828
36,2013,TR,Kuala Terengganu,P36,94406,0.89,0.1,0.01,UMNO,Mohd Zubir Bin Embong,35043
36,2013,TR,Kuala Terengganu,P36,94406,0.89,0.1,0.01,IND,Maimun Binti Yusuf,182
37,2018,TR,Marang,P37,104898,0.98,0.02,0,PAS,Abdul Hadi Bin Awang,53749
37,2018,TR,Marang,P37,104898,0.98,0.02,0,UMNO,Mohamad Nor Bin Endot,31795
37,2018,TR,Marang,P37,104898,0.98,0.02,0,AMANAH,Zarawi Bin Sulong,5138
37,2013,TR,Marang,P37,90795,0.98,0.02,0,PAS,Abdul Hadi Bin Awang,42984
37,2013,TR,Marang,P37,90795,0.98,0.02,0,UMNO,Yahya Bin Khatib Mohamad,37860
38,2018,TR,Hulu Terengganu,P38,73487,0.99,0.01,0,UMNO,Rosol Bin Wahid,30925
38,2018,TR,Hulu Terengganu,P38,73487,0.99,0.01,0,PAS,Muhyidin Bin Abdul Rashid,28057
38,2018,TR,Hulu Terengganu,P38,73487,0.99,0.01,0,BERSATU,Razali Bin Idris,3364
38,2013,TR,Hulu Terengganu,P38,63543,0.99,0.01,0,UMNO,Jailani Bin Johari,31940
38,2013,TR,Hulu Terengganu,P38,63543,0.99,0.01,0,PAS,Kamaruzaman Bin Abdullah,23727
39,2018,TR,Dungun,P39,90506,0.96,0.03,0,PAS,Wan Hassan Bin Mohd Ramli,40850
39,2018,TR,Dungun,P39,90506,0.96,0.03,0,UMNO,Din Bin Adam,27731
39,2018,TR,Dungun,P39,90506,0.96,0.03,0,PKR,Abd Rahman Bin Yusof,6833
39,2013,TR,Dungun,P39,78174,0.96,0.04,0,PAS,Wan Hassan Bin Mohd Ramli,35348
39,2013,TR,Dungun,P39,78174,0.96,0.04,0,UMNO,Rosli Bin Mat Hassan,31406
